Plane (hkl),I_exp_raw,I_exp_normalized,I_reference,I_ratio,TC,TC_Error
120,302.01,3.5451344054466483,55.0,0.06445698918993906,0.16023260243682486,0.0
101,330.0,3.8736940955511208,12.0,0.3228078412959267,0.8024628693940519,0.06322434728559197
130,375.0,4.401925108580819,30.0,0.14673083695269398,0.36475584972456904,0.02820778571203334
310,144.0,1.6903392416950345,16.0,0.10564620260593965,0.2626242118016897,0.04194692271832544
021,901.0,10.576358727550183,12.0,0.8813632272958486,2.190966804012245,0.08754140393389657
230,275.0,3.2280784129592677,70.0,0.04611540589941811,0.11463755277057884,0.009171004221646307
211,4999.0,58.68059631412138,75.0,0.7824079508549517,1.9449754589579955,0.01906457241227081
221,8519.0,100.0,100.0,1.0,2.4858840670428832,0.014590233988982763
301,3079.0,36.14273975818758,60.0,0.602378995969793,1.4974443484025977,0.017021939653813226
311,1239.0,14.543960558751026,20.0,0.7271980279375513,1.807729991234964,0.046688748764744825
240,286.0,3.3572015494776384,60.0,0.05595335915796064,0.13909356402830234,0.009726822659321841
321,1953.0,22.925225965488906,30.0,0.7641741988496302,1.8996484653655556,0.029180467977965523
041,969.0,11.374574480572837,25.0,0.4549829792229135,1.1310349388259437,0.024511593101491036
141,1582.0,18.570254724732948,35.0,0.5305787064209414,1.3189571526040416,0.020009463756319214
411,480.0,5.634464138983448,12.0,0.46953867824862067,1.1672187191186207,0.041338996302117834
331,78.0,0.9156004225848104,8.0,0.1144500528231013,0.28450956278516387,0.09848407942563364
250,739.0,8.674727080643269,35.0,0.24784934516123625,0.6161247381633292,0.019175736099805912
520,152.0,1.7842469773447587,20.0,0.08921234886723793,0.22177155663253798,0.020426327584575868
431,763.0,8.95645028759244,35.0,0.2558985796454983,0.6361342019196484,0.01584082547375271
501,853.0,10.012912313651837,30.0,0.3337637437883946,0.8296979728401531,0.024317056648304605
002,2853.0,33.489846226082875,25.0,1.339593849043315,3.330075005645426,0.03384934285444001
600,71.0,0.8334311538913017,8.0,0.10417889423641272,0.258976653304444,0.05106581896143967
160,71.0,0.8334311538913017,8.0,0.10417889423641272,0.258976653304444,0.05106581896143967
610,106.0,1.244277497358845,8.0,0.15553468716985563,0.38664120070804325,0.06565605295042243
212,246.0,2.8876628712290175,8.0,0.3609578589036272,0.8972993903224399,0.06565605295042243
531,304.0,3.5684939546895174,16.0,0.22303087216809483,0.5544288915813449,0.029180467977965523
061,678.0,7.958680596314122,45.0,0.17685956880698048,0.4396523842013472,0.01102373234723142
360,252.0,2.9580936729663105,20.0,0.14790468364831552,0.3676738965223656,0.02188535098347414
322,665.0,7.806080525883321,14.0,0.5575771804202372,1.3860722289533625,0.03334910626053202
720,127.0,1.4907853034393708,12.0,0.12423210861994756,0.30882661943346845,0.038907290637287366
242,867.0,10.177250851038854,18.0,0.5654028250577141,1.405525874272006,0.07457230705480078
422,867.0,10.177250851038854,10.0,1.0177250851038855,2.529946573689611,0.13423015269864141
